month,n,avg_rating,neg_share,reply_rate,median_reply_lag,noisy_flag
2015-01,1,1.0,1.0,0.0,,True
2015-08,1,1.0,1.0,1.0,3.630331145833333,True
2015-11,1,2.0,1.0,0.0,,True
2016-03,1,4.0,0.0,0.0,,True
2016-04,2,1.0,1.0,0.0,,True
2016-06,1,1.0,1.0,0.0,,True
2016-08,1,1.0,1.0,0.0,,True
2016-09,2,1.0,1.0,0.0,,True
2016-10,2,1.0,1.0,0.0,,True
2016-11,2,1.0,1.0,0.0,,True
2016-12,1,1.0,1.0,0.0,,True
2017-01,1,1.0,1.0,0.0,,True
2017-02,1,1.0,1.0,0.0,,True
2017-03,4,1.0,1.0,0.0,,True
2017-04,2,1.0,1.0,0.0,,True
2017-05,4,1.0,1.0,0.0,,True
2017-06,5,1.8,0.8,0.0,,True
2017-07,4,1.0,1.0,0.0,,True
2017-08,3,2.0,0.6666666666666666,0.0,,True
2017-09,3,2.3333333333333335,0.6666666666666666,0.0,,True
2017-10,8,1.0,1.0,0.0,,True
2017-11,3,1.0,1.0,0.0,,True
2017-12,3,2.0,0.6666666666666666,0.0,,True
2018-01,5,1.2,1.0,0.0,,True
2018-02,116,3.8189655172413794,0.25,0.0,,False
2018-03,64,3.75,0.25,0.0,,False
2018-04,72,4.097222222222222,0.19444444444444445,0.013888888888888888,95.43254782407408,False
2018-05,41,4.146341463414634,0.14634146341463414,0.0,,False
2018-06,27,3.814814814814815,0.25925925925925924,0.14814814814814814,69.61890624421295,True
2018-07,28,3.4642857142857144,0.35714285714285715,0.5,10.290666006944445,True
2018-08,29,3.0689655172413794,0.41379310344827586,0.5517241379310345,7.098363784722222,True
2018-09,68,3.7794117647058822,0.20588235294117646,0.3088235294117647,2.3610574305555554,False
2018-10,54,3.7777777777777777,0.2222222222222222,0.5555555555555556,4.023643501157407,False
2018-11,40,4.025,0.2,0.425,3.7235699421296298,False
2018-12,27,4.037037037037037,0.14814814814814814,0.0,,True
2019-01,52,3.7115384615384617,0.2692307692307692,0.0,,False
2019-02,48,3.6458333333333335,0.2916666666666667,0.0,,False
2019-03,61,4.311475409836065,0.11475409836065574,0.0,,False
2019-04,47,4.23404255319149,0.10638297872340426,0.0,,False
2019-05,21,3.7142857142857144,0.2857142857142857,0.047619047619047616,46.220500613425926,True
2019-06,5,1.0,1.0,0.0,,True
2019-07,10,1.0,1.0,1.0,4.0130814872685185,True
2019-08,74,4.135135135135135,0.16216216216216217,0.972972972972973,0.13988030671296298,False
2019-09,54,4.203703703703703,0.14814814814814814,0.9444444444444444,0.11662065972222221,False
2019-10,62,4.048387096774194,0.1935483870967742,0.9354838709677419,0.16145140046296297,False
2019-11,66,4.090909090909091,0.16666666666666666,1.0,0.22214992476851853,False
2019-12,66,3.9545454545454546,0.21212121212121213,0.9545454545454546,0.26187907407407407,False
2020-01,94,4.148936170212766,0.1595744680851064,1.0,0.16817282986111112,False
2020-02,86,4.3023255813953485,0.11627906976744186,0.9883720930232558,0.16281667824074075,False
2020-03,98,4.122448979591836,0.14285714285714285,0.9795918367346939,0.16882889467592593,False
2020-04,78,4.371794871794871,0.10256410256410256,0.9871794871794872,0.12019252314814814,False
2020-05,151,4.450331125827814,0.08609271523178808,0.9867549668874173,0.24355707175925925,False
2020-06,141,4.2695035460992905,0.1276595744680851,0.9929078014184397,0.70081375,False
2020-07,212,4.09433962264151,0.14150943396226415,0.9858490566037735,0.21207667824074072,False
2020-08,159,3.9874213836477987,0.16981132075471697,0.9937106918238994,0.31026125000000004,False
2020-09,165,4.163636363636364,0.1393939393939394,0.9939393939393939,0.22512965277777777,False
2020-10,180,4.2444444444444445,0.1111111111111111,0.9944444444444445,0.18240965277777776,False
2020-11,190,4.105263157894737,0.15789473684210525,0.9947368421052631,0.15764328703703703,False
2020-12,130,4.007692307692308,0.19230769230769232,0.9923076923076923,0.16048880787037037,False
2021-01,222,4.018018018018018,0.16666666666666666,0.9864864864864865,0.17487400462962963,False
2021-02,196,4.045918367346939,0.15816326530612246,0.9948979591836735,0.20611695601851854,False
2021-03,192,3.921875,0.1875,0.9895833333333334,0.11408017361111111,False
2021-04,157,4.197452229299363,0.14012738853503184,0.9936305732484076,0.10957409143518519,False
2021-05,192,4.130208333333333,0.15104166666666666,0.984375,0.12305170138888888,False
2021-06,156,4.083333333333333,0.1794871794871795,0.9743589743589743,0.12894505208333334,False
2021-07,170,4.035294117647059,0.17058823529411765,0.9823529411764705,0.43031437499999997,False
2021-08,182,3.934065934065934,0.2087912087912088,0.967032967032967,0.5834021122685185,False
2021-09,185,4.3297297297297295,0.0972972972972973,0.9945945945945946,0.833112193287037,False
2021-10,139,4.129496402877698,0.1366906474820144,0.9712230215827338,0.8116065046296296,False
2021-11,137,4.087591240875913,0.17518248175182483,0.9854014598540146,1.0439613194444444,False
2021-12,127,4.251968503937008,0.11023622047244094,0.984251968503937,0.9794790277777777,False
2022-01,161,4.3105590062111805,0.11801242236024845,0.9937888198757764,1.2017827430555554,False
2022-02,110,4.009090909090909,0.17272727272727273,0.9818181818181818,1.0552970601851852,False
2022-03,157,4.229299363057325,0.14012738853503184,0.9745222929936306,0.8861563078703704,False
2022-04,159,4.138364779874214,0.14465408805031446,0.9811320754716981,1.1102278414351852,False
2022-05,131,3.9083969465648853,0.1984732824427481,0.9923664122137404,0.8379261689814814,False
2022-06,106,4.028301886792453,0.1792452830188679,0.9811320754716981,1.0426577662037038,False
2022-07,120,4.016666666666667,0.175,0.9833333333333333,1.7662918229166666,False
2022-08,126,4.317460317460317,0.10317460317460317,0.9920634920634921,1.8747544791666668,False
2022-09,118,3.8983050847457625,0.211864406779661,0.9661016949152542,1.8643282118055557,False
2022-10,95,4.052631578947368,0.17894736842105263,1.0,3.6375352430555554,False
2022-11,74,4.216216216216216,0.13513513513513514,1.0,4.049250248842593,False
2022-12,83,3.9036144578313254,0.18072289156626506,0.8433734939759037,14.818032407407408,False
2023-01,93,3.5806451612903225,0.26881720430107525,0.989247311827957,4.0305381944444445,False
2023-02,64,3.53125,0.28125,0.96875,2.9408449074074072,False
2023-03,228,4.078947368421052,0.17105263157894737,1.0,2.0758217592592594,False
2023-04,183,4.185792349726776,0.14754098360655737,1.0,2.7343171296296296,False
2023-05,184,4.141304347826087,0.15217391304347827,1.0,5.89625,False
2023-06,143,4.188811188811189,0.14685314685314685,1.0,3.196886574074074,False
2023-07,113,4.106194690265487,0.1592920353982301,1.0,4.680532407407408,False
2023-08,100,3.96,0.19,1.0,2.816574074074074,False
2023-09,152,4.026315789473684,0.19736842105263158,1.0,2.0119386574074074,False
2023-10,248,4.068548387096774,0.18548387096774194,1.0,4.836174768518518,False
2023-11,131,3.931297709923664,0.19083969465648856,1.0,2.860474537037037,False
2023-12,120,3.8916666666666666,0.20833333333333334,1.0,2.970329861111111,False
2024-01,169,4.094674556213017,0.17159763313609466,1.0,2.043923611111111,False
2024-02,126,3.9285714285714284,0.1984126984126984,1.0,1.93359375,False
2024-03,120,3.5416666666666665,0.3333333333333333,1.0,4.443061342592593,False
2024-04,122,3.8114754098360657,0.27049180327868855,1.0,2.7542824074074073,False
2024-05,105,3.914285714285714,0.23809523809523808,1.0,1.9542939814814815,False
2024-06,89,3.539325842696629,0.33707865168539325,1.0,2.4856712962962964,False
2024-07,81,3.4814814814814814,0.3333333333333333,1.0,1.640613425925926,False
2024-08,80,3.575,0.2875,1.0,2.8360300925925923,False
2024-09,82,3.8902439024390243,0.23170731707317074,1.0,1.8483680555555555,False
2024-10,67,3.2238805970149254,0.417910447761194,1.0,2.800127314814815,False
2024-11,52,3.4423076923076925,0.36538461538461536,1.0,2.89416087962963,False
2024-12,65,2.753846153846154,0.47692307692307695,1.0,1.9768518518518519,False
2025-01,82,3.0365853658536586,0.47560975609756095,1.0,4.050138888888888,False
2025-02,73,3.3698630136986303,0.3698630136986301,1.0,1.9238078703703703,False
2025-03,74,3.310810810810811,0.36486486486486486,1.0,1.6866319444444444,False
2025-04,81,3.7037037037037037,0.2962962962962963,1.0,3.0201504629629627,False
2025-05,74,3.0945945945945947,0.47297297297297297,0.9864864864864865,4.897650462962963,False
2025-06,83,3.0120481927710845,0.4578313253012048,1.0,2.2925578703703704,False
2025-07,72,3.7083333333333335,0.2777777777777778,0.9861111111111112,3.6922569444444444,False
2025-08,83,3.6265060240963853,0.3132530120481928,1.0,12.949293981481482,False
2025-09,86,3.4767441860465116,0.3488372093023256,0.9883720930232558,5.111435185185186,False
2025-10,73,3.506849315068493,0.3561643835616438,0.9863013698630136,9.114675925925926,False
2025-11,75,3.52,0.3333333333333333,1.0,5.054606481481481,False
2025-12,70,3.742857142857143,0.3,0.9571428571428572,12.02892361111111,False
2026-01,71,3.323943661971831,0.39436619718309857,0.971830985915493,7.037175925925926,False
2026-02,70,3.442857142857143,0.35714285714285715,0.9571428571428572,6.863414351851852,False
2026-03,85,3.7058823529411766,0.2823529411764706,0.8941176470588236,13.501875,False
2026-04,61,3.6885245901639343,0.2786885245901639,0.5737704918032787,20.12579861111111,False
2026-05,71,3.563380281690141,0.323943661971831,1.0,8.051238425925925,False
