origin,horizon,predicted_p,lo80,hi80,lo95,hi95,actual_p,covered80,covered95,abs_err,naive_abs_err,naive3_abs_err
2024-09,1,0.2816,0.2073,0.37,0.1743,0.4211,0.4179,0,1,0.1364,0.1862,0.1337
2024-09,3,0.2816,0.2014,0.3784,0.1665,0.4347,0.4769,0,0,0.1954,0.2452,0.1927
2024-09,6,0.2816,0.1936,0.3901,0.1563,0.4532,0.3649,1,1,0.0833,0.1332,0.0807
2024-10,1,0.32,0.2397,0.4126,0.2032,0.4648,0.3654,1,1,0.0454,0.0525,0.053
2024-10,3,0.32,0.2331,0.4215,0.1943,0.4787,0.4756,0,1,0.1556,0.0577,0.1632
2024-10,6,0.32,0.2244,0.4336,0.1827,0.4976,0.2963,1,1,0.0237,0.1216,0.0161
2024-11,1,0.3307,0.2481,0.4252,0.2104,0.4781,0.4769,0,1,0.1462,0.1115,0.1386
2024-11,3,0.3307,0.2414,0.4341,0.2014,0.4919,0.3699,1,1,0.0392,0.0045,0.0315
2024-11,6,0.3307,0.2325,0.4462,0.1895,0.5107,0.473,0,1,0.1423,0.1076,0.1346
2024-12,1,0.3742,0.2848,0.4731,0.2431,0.5268,0.4756,0,1,0.1014,0.0013,0.0555
2024-12,3,0.3742,0.2776,0.482,0.2331,0.5405,0.3649,1,1,0.0093,0.1121,0.0552
2024-12,6,0.3742,0.2678,0.4943,0.22,0.559,0.4578,1,1,0.0836,0.0191,0.0378
2025-01,1,0.4095,0.3179,0.508,0.2741,0.5603,0.3699,1,1,0.0397,0.1057,0.0694
2025-01,3,0.4095,0.31,0.5171,0.2631,0.5741,0.2963,0,1,0.1133,0.1793,0.143
2025-01,6,0.4095,0.2994,0.5295,0.2486,0.5926,0.2778,0,1,0.1318,0.1978,0.1615
2025-02,1,0.3975,0.3052,0.4976,0.2616,0.5512,0.3649,1,1,0.0326,0.005,0.0759
2025-02,3,0.3975,0.2977,0.5066,0.2511,0.5648,0.473,1,1,0.0755,0.1031,0.0322
2025-02,6,0.3975,0.2875,0.5188,0.2373,0.5831,0.3133,1,1,0.0842,0.0566,0.1275
2025-03,1,0.3874,0.2961,0.4875,0.2531,0.5413,0.2963,1,1,0.0911,0.0686,0.1071
2025-03,3,0.3874,0.2887,0.4964,0.2429,0.5549,0.4578,1,1,0.0704,0.093,0.0544
2025-03,6,0.3874,0.2787,0.5086,0.2294,0.5733,0.3488,1,1,0.0386,0.016,0.0546
2025-04,1,0.3587,0.2715,0.4563,0.2312,0.5099,0.473,0,1,0.1143,0.1767,0.1293
2025-04,3,0.3587,0.2645,0.4652,0.2216,0.5236,0.2778,1,1,0.0809,0.0185,0.0659
2025-04,6,0.3587,0.255,0.4775,0.2089,0.5423,0.3562,1,1,0.0025,0.0599,0.0125
2025-05,1,0.3944,0.3042,0.4924,0.2615,0.5451,0.4578,1,1,0.0634,0.0151,0.0798
2025-05,3,0.3944,0.2965,0.5016,0.2508,0.5589,0.3133,1,1,0.0812,0.1597,0.0648
2025-05,6,0.3944,0.2863,0.514,0.2368,0.5775,0.3333,1,1,0.0611,0.1396,0.0447
2025-06,1,0.4159,0.3257,0.5121,0.2823,0.5631,0.2778,0,0,0.1381,0.1801,0.1313
2025-06,3,0.4159,0.3175,0.5214,0.2708,0.5771,0.3488,1,1,0.067,0.109,0.0602
2025-06,6,0.4159,0.3066,0.5341,0.2558,0.5959,0.3,0,1,0.1159,0.1578,0.109
2025-07,1,0.3774,0.2884,0.4754,0.2467,0.5286,0.3133,1,1,0.0641,0.0355,0.0896
2025-07,3,0.3774,0.281,0.4845,0.2366,0.5424,0.3562,1,1,0.0212,0.0784,0.0467
2025-07,6,0.3774,0.2712,0.4968,0.2232,0.5611,0.3944,1,1,0.017,0.1166,0.0085
2025-08,1,0.3565,0.2711,0.4521,0.2315,0.5046,0.3488,1,1,0.0076,0.0356,0.0008
2025-08,3,0.3565,0.2639,0.4611,0.2217,0.5186,0.3333,1,1,0.0231,0.0201,0.0163
2025-08,6,0.3565,0.2544,0.4735,0.2088,0.5376,0.3571,1,1,0.0007,0.0439,0.0075
2025-09,1,0.3539,0.2706,0.4471,0.2319,0.4985,0.3562,1,1,0.0023,0.0073,0.0429
2025-09,3,0.3539,0.2633,0.4564,0.2219,0.5128,0.3,1,1,0.0539,0.0488,0.0133
2025-09,6,0.3539,0.2536,0.4689,0.2088,0.5321,0.2824,1,1,0.0716,0.0665,0.0309
2025-10,1,0.3546,0.2698,0.4496,0.2305,0.5019,0.3333,1,1,0.0212,0.0228,0.0061
2025-10,3,0.3546,0.2626,0.4587,0.2207,0.5159,0.3944,1,1,0.0398,0.0382,0.0549
2025-10,6,0.3546,0.2531,0.4711,0.2078,0.535,0.2787,1,1,0.0759,0.0775,0.0607
2025-11,1,0.3482,0.2641,0.4429,0.2253,0.4953,0.3,1,1,0.0482,0.0333,0.0461
2025-11,3,0.3482,0.2571,0.452,0.2157,0.5093,0.3571,1,1,0.009,0.0238,0.011
2025-11,6,0.3482,0.2477,0.4643,0.203,0.5283,0.3239,1,1,0.0242,0.0094,0.0222
2025-12,1,0.3346,0.25,0.4314,0.2114,0.4854,0.3944,1,1,0.0598,0.0944,0.0645
2025-12,3,0.3346,0.2434,0.4401,0.2025,0.499,0.2824,1,1,0.0522,0.0176,0.0475
2026-01,1,0.3527,0.2662,0.4501,0.2263,0.5037,0.3571,1,1,0.0045,0.0372,0.0146
2026-01,3,0.3527,0.2592,0.459,0.2168,0.5175,0.2787,1,1,0.074,0.1157,0.0639
2026-02,1,0.354,0.2665,0.4525,0.2262,0.5067,0.2824,1,1,0.0716,0.0748,0.0682
2026-02,3,0.354,0.2596,0.4613,0.2168,0.5203,0.3239,1,1,0.0301,0.0332,0.0266
2026-03,1,0.3308,0.2461,0.428,0.2077,0.4824,0.2787,1,1,0.0521,0.0037,0.0659
2026-04,1,0.3177,0.2335,0.4159,0.1957,0.4713,0.3239,1,1,0.0062,0.0453,0.0179
